,Clean_Text,place.country,coordinates,compound,type
371,our executive director kenroth speaking to crowded hall at unga73 spotlighting bold referral of situation in venezuela to intlcrimcou just yesterday amp todays vote at human rights council to build case files of atrocities against stateless rohingya population ,United States,"[[-73.96867275238037, 40.74922394015687], [-73.96867275238037, 40.74922394015687], [-73.96867275238037, 40.74922394015687], [-73.96867275238037, 40.74922394015687]]",0.3818,Positive
377,big news un human rights council takes major step towards securing amp preserving a path to justice for rohingya victims by adopting a resolution to create a new body to collect evidence amp build case files 35 votes in favor chinas no vote only backed by philippines amp burundi ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.7269,Positive
379,refugees are not terrorists they often are the victims of terrorism       humanitarian media                          merci beaucoup ,United States,"[[-80.2006, 26.644671], [-80.044639, 26.644671], [-80.044639, 26.7991205], [-80.2006, 26.7991205]]",-0.5583,Negative
380,humanitarianmedia                                   humanitarianmedia                                      humanitarian media                               refugees are not terrorists they are usually the first victims of terrorists merci beaucoup ,United States,"[[-80.2006, 26.644671], [-80.044639, 26.644671], [-80.044639, 26.7991205], [-80.2006, 26.7991205]]",0.6472,Positive
386, hrvp federicamog met with prime minister of bangladesh sheikh hasina in margins of unga today to discuss the situation of rohingya who fled from myanmar as well as bilateral relations incl situation in bangladesh ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.2732,Positive
389,houseforeign hosted a hearing on myanmar human rights abuses today follow kyawzeyarwin an opensociety civil society leader award recipient rohingya leaderamp amnestyusa fellow this semester who was at hearing and livetweeted it ,United States,"[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]",-0.0258,Neutral
392,acampolina borameyaac vanyaradzayi actionaid and at the same time lowers the limits on refugees bangladesh takes in 1m rohingya and lebanon  increases its size by 25 in syrian refugees but the us richest country can take only 30k actionaidusa,United States,"[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]",0.6542,Positive
394,realdonaldtrump 389 million to rohingya  how much more do you think we need to continue to give to any country or people who hate the us this amount is ridiculous  i dont care what these countries do to each other its their problemnot us  giving money away just like obama didenough,United States,"[[-88.473228, 30.144425], [-84.888247, 30.144425], [-84.888247, 35.008029], [-88.473228, 35.008029]]",-0.6031,Negative
395,confronting genocide of the rohingya is a moral issue and a national security issue no one is more secure when fanaticism and unchecked violence are growing in this pa of the world i look forward to hearing from our witnesses on these issues todaychairperson royce,United States,"[[-77.01064645793795, 38.88686836743492], [-77.01064645793795, 38.88686836743492], [-77.01064645793795, 38.88686836743492], [-77.01064645793795, 38.88686836743492]]",-0.2748,Negative
396,i encourage the administration to go fuher  this is more than just a textbook example of ethnic cleansing to all who have met with rohingya refugees who have heard these accounts it is clear that these crimes amount to genocidechairperson royces opening speech,United States,"[[-77.01064645793795, 38.88686836743492], [-77.01064645793795, 38.88686836743492], [-77.01064645793795, 38.88686836743492], [-77.01064645793795, 38.88686836743492]]",0.7096,Positive
400,at un 70th anniversary of the universal declaration of human rights franceonu mfa reiterates full suppo for the icc pledges involvement to ensure that those responsible for violence in myanmar against rohingya are investigated and prosecuted   fiacatorg,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",-0.4215,Negative
402,malaysia pm tells cfr audience that some strong un action should be taken to address massacre of rohingya amp adds there should be a limit to nonintervention continues saying that if in malaysia we killed all the indians and chinese you have the right to move in ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",-0.296,Negative
411,thank you eucommission euatun for all your suppo to the rohingya people ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.3612,Positive
412,us wont label atrocities against rohingya genocide ,United States,"[[-87.699649, 37.9239819], [-87.449732, 37.9239819], [-87.449732, 38.082951], [-87.699649, 38.082951]]",0.0,Neutral
424,we also wouldnt label what was happening in rwanda as genocide i have alot of issues wpeople throwing around the term genocide since it is a legal term with a specific definition ampwhat is happening to the rohingya ceainly fits many of the characteristics of the legal def ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.25,Positive
425,prayers for justice and safety for the rohingya and kachin peoples god is with you bobrobesjr ,United States,"[[-83.353955, 32.04683], [-78.499301, 32.04683], [-78.499301, 35.215449], [-83.353955, 35.215449]]",0.8074,Positive
426,from the amazing ejc45  who also called out the lack of riskyphilanthropy in two impoant areas refusing to divest endowments amp not funding critical humanitarian crises like the refugee crisis in syria amp the rohingya sdgs philanthropy ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",-0.2115,Negative
428,i had to choose between my children and my mother us repo documents atrocities against rohingya ,United States,"[[-122.0731031, 37.4946345], [-121.987627, 37.4946345], [-121.987627, 37.5634772], [-122.0731031, 37.5634772]]",0.0,Neutral
430,rohingya women amp girls refugees know they can count on canadadev to keep their interests at hearefugeeschief joined mclaudebibeau and the bangladesh government at unga to thank canada for its constant suppo to unhcrbgdeveryonebenefits ,United States,"[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]",0.5423,Positive
436,our prosecutethegeneral photos were posted around new york overnight reading wanted for mass murder  dont let him get away with it including harrowing quotes from myanmars rohingya survivors as the un general assembly unga meets this week ,United States,"[[-74.255641, 40.495865], [-73.699793, 40.495865], [-73.699793, 40.91533], [-74.255641, 40.91533]]",-0.6908,Negative
442,a dynamic session on rohingya women and girls  the need to adapt our humanitarian response for them thanks to the gov of bangladesh  unhcr refugees for cohosting and pushing us to do better canada has been and will continue to be funding genderfocused aid programs unga ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.8126,Positive
443,very few signs of improvements for rohingya remaining in nohern rakhine myanmar sweden urges immediate access for un amp paners rohingya refugees in bangladesh also need our continued suppo it is our shared responsibility to address the underfunded un response plan ,United States,"[[-73.96867275238037, 40.74922394015687], [-73.96867275238037, 40.74922394015687], [-73.96867275238037, 40.74922394015687], [-73.96867275238037, 40.74922394015687]]",0.5719,Positive
447,the ethnic cleansing of myanmars rohingya muslims explained via youtube,United States,"[[-84.576827, 33.6475029], [-84.289385, 33.6475029], [-84.289385, 33.8868859], [-84.576827, 33.8868859]]",0.0,Neutral
449,our prosecutethegeneral photos were posted around new york overnight reading wanted for mass murder  dont let him get away with it including harrowing quotes from myanmars rohingya survivors as the un general assembly unga meets this week,United States,"[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]",-0.6908,Negative
453,spotted on the streets of new yorkun wanted posters and vans of myanmar min aung hlaing reminding the international community of its responsibility for justice and accountability rohingyacrisis rohingya unga18 unga73 ,United States,"[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]",0.5267,Positive
459,not surprising  if anyone is capable of not having empathy for anyone but himself its trump and id bet good money that he doesnt even know whats been happening in rohingya ,United States,"[[-118.023461, 34.099706], [-117.9753567, 34.099706], [-117.9753567, 34.178637], [-118.023461, 34.178637]]",0.642,Positive
464,us steers clear of genocide label in quietly releasing repo on rohingya via politico,United States,"[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]",0.3818,Positive
465,this represents a significant missed oppounity on a crucial human rights issue and sends a worrying message about how the united states plans to address amnestyusa rohingya rohingyacrisis ,United States,"[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]",0.0,Neutral
469,statedept myanmar repo is a missed oppounity sending a worrying message about washingtons willingness to seek justice for atrocities under ilaw us words mean nothing if it fails to pursue genuine accountability rohingya,United States,"[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]",0.4993,Positive
471,read nahaltoosi on the depament of state going quiet about its own repo on burmese government abuse of the rohingya muslim minority  i wonder if anyone in administrations upper levels is at home on this one  maybe bolton but thats it ,United States,"[[-89.2948, 43.154941], [-89.166248, 43.154941], [-89.166248, 43.238626], [-89.2948, 43.238626]]",-0.3818,Negative
473,if youre paicipating in unga2018 id really recommend visiting wfp pavilion on left as you enter un  use interactive tools to learn about rohingya refugees and many others receiving food assistance from wfp zerohunger ar sdg2 ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.4201,Positive
475,ministerial meeting w myanmar amp countries in region on rohingya crisis hum access voluntary return annan repo amp accountability at centre of discussions progress urgently needed on all fronts ,United States,"[[-73.96817922592162, 40.74876877701783], [-73.96817922592162, 40.74876877701783], [-73.96817922592162, 40.74876877701783], [-73.96817922592162, 40.74876877701783]]",-0.3182,Negative
477,good to hear turkey  voice among the discussion promises and pledges this week at un to suppo rohingya victims but were still waiting for concrete action on quest for justice hrwxunga ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.7717,Positive
